"MAPAMED_ID"	"PARENT_ID"	"WDPA_ID"	"N2000_ID"	"RAMSAR_ID"	"NAME"	"ORIG_NAME"	"DESIG_ENG"	"DESIG"	"DESIG_TYPE"	"DESIG_CAT_ENG"	"SITE_TYPE_ENG"	"PARENT_TYPE_ENG"	"IUCN_CAT_ENG"	"ISO3"	"MSFD_REGION"	"REP_M_AREA"	"GIS_M_AREA"	"REP_AREA"	"GIS_AREA"	"REP_M_PCT"	"GIS_M_PCT"	"STATUS_ENG"	"STATUS_YR"	"GOV_TYPE_ENG"	"MANG_AUTH"	"MANG_PLAN_ENG"	"PLAN_REF"	"GREEN_LIST_ENG"	"WEBSITE"	"GIS_PROVIDER"	"GIS_UPDATE"	"GIS_LOG"
1602	1044	151292			Punta del Fangar	Punta del Fangar	Nature Reserve of Wildlife (Spain, Catalonia)	Reserve Natural de Fauna Salvatge	National	MPA with a national statute	Marine Protected Area	Zone	IV - Habitat/species management area	{ESP}	{MWE}	1.88	1.33	7.39	7.38	25	18	Designated	1992	Not reported	Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente	Not reported		Not listed	https://www.protectedplanet.net/151292	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1138	1139		ES0000234		S'Albufera des Grau	S'Albufera des Grau	SPA (Birds Directive) + SCI (Habitats Directive)	SPA (Birds Directive) + SCI (Habitats Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Secondary	Not reported	{ESP}	{MWE}	6.6	6.33	25.38	25.39	26	25	Designated	2006	Not reported	Balearic Islands Government - Department of Environment, Agriculture and Fisheries	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES0000234	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1139	1139	196293			S'Albufera des Grau	S'Albufera des Grau	Natural Park (Spain)	Parque Natural	National	MPA with a national statute	Marine Protected Area	Main	IV - Habitat/species management area	{ESP}	{MWE}	17.32	16.09	51.14	50.7	34	32	Designated	1995	Not reported	Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente	Not reported		Not listed	https://www.protectedplanet.net/196293	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1603	1139	555546020			S'Albufera des Grau	S'Albufera des Grau	Nature Reserve (Spain)	Reserva Natural	National	MPA with a national statute	Marine Protected Area	Zone	Not assigned	{ESP}	{MWE}	0.11	0.1	1.18	1.17	9	9	Designated	2003	Not reported	Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente	Not reported		Not listed	https://www.protectedplanet.net/555546020	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1149		555523820	ES5310082		S'Estaca - Punta de Deià	S'Estaca - Punta de Deià	Special Area of Conservation (Habitats Directive)	Special Area of Conservation (Habitats Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Not reported	Not reported	{ESP}	{MWE}	7.82	7.61	10.03	10.04	78	76	Designated	2006	Not reported	Dirección General de Medio Natural, Educación Ambiental Y Cambio Climático. Gobierno de las Islas Baleares	Fully implemented	http://www.caib.es/eboibfront/es/2015/10315/565417/decreto-49-2015-de-22-de-mayo-por-el-que-se-aprueb?&idEnviament=565417&mode=view&numero=10315	Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES5310082	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1137	1515		ES0000221		Sa Dragonera	Sa Dragonera	SPA (Birds Directive) + SCI (Habitats Directive)	SPA (Birds Directive) + SCI (Habitats Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Secondary	Not reported	{ESP}	{MWE}	9.92	9.58	12.72	12.73	78	75	Designated	2006	Not reported	Not reported	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES0000221	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1515	1515				Sa Dragonera	Sa Dragonera	Marine Reserve (Spain)	Reserva Marina	National	MPA with a national statute	Marine Protected Area	Main	VI - Protected area with sustainable use of natural resources	{ESP}	{MWE}	13.48	13.08	13.48	13.69	100	96	Designated	2016	Sub-national ministry or agency	Secretaría General de Pesca (MAPA) y Consellería d’Agricultura, Pesca i Alimentació del Govern de les Illes Balears	Fully implemented		Not listed	http://www.caib.es/sites/reservesmarines/ca/descripcia/	Secretaría General de Pesca (MAPA)	2021-02-22	GIS layer from the Secretaría General de Pesca (MAPA)
1140			ES0000175		Salinas y Arenales de San Pedro del Pinatar	Salinas y Arenales de San Pedro del Pinatar	SPA (Birds Directive) + SAC (Habitats Directive)	SPA (Birds Directive) + SAC (Habitats Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Not reported	Not reported	{ESP}	{MWE}	1.16	5.15	8.29	8.29	14	62	Designated	1999	Not reported	Not reported	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES0000175	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1604	1604	15509			Salinas y Arenales de San Pedro del Pinatar	Salinas y Arenales de San Pedro del Pinatar	Regional Park (Spain)	Parque Regional	National	MPA with a national statute	Marine Protected Area	Main	II - National park	{ESP}	{MWE}	1.2	5.24	8.65	8.65	14	61	Designated	1992	Not reported	Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente	Not reported		Not listed	https://www.protectedplanet.net/15509	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1079	1081	365013			Sea Bottom of the Levante of Almeria	Sea Bottom of the Levante of Almeria	SPAMI	Specially Protected Area of Mediterranean Importance	Regional	SPAMI	Marine Protected Area	Secondary	Not assigned	{ESP}	{MWE}	63.11	63.06	63.13	63.16	100	100	Adopted	2007	Not reported	Comunidad Autonoma de Andalucia	Not reported		Not listed	http://www.rac-spa.org/sites/default/files/doc_spamis/spamis/18_levante_almeria.pdf	Secretaría General de Pesca (MAPA)		Not Reported
1141	1141	389035			Serra De Tramuntana	Serra De Tramuntana	Nature Place (Spain)	Paraje Natural	National	MPA with a national statute	Marine Protected Area	Main	Not assigned	{ESP}	{MWE}	0.0	12.45	634.02	630.73	0	2	Designated	2007	Sub-national ministry or agency	Government of the Balearic Islands (Govern de les Illes Balears)	Partially implemented		Not listed	https://www.protectedplanet.net/389035	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1144	1144	349430			Serra Gelada	Serra Gelada	Natural Park (Spain)	Parque Natural	National	MPA with a national statute	Marine Protected Area	Main	II - National park	{ESP}	{MWE}	49.58	49.25	57.1	57.05	87	86	Designated	2005	Sub-national ministry or agency	Dirección General de Medio Natural e Impacto Ambiental - Conselleria de Desarrollo Rural, Emergencia Climática y Transición Ecológica	Partially implemented		Not listed	https://www.protectedplanet.net/349430	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1145		555523697	ES5213021		Serra Gelada i Litoral de la Marina Baixa	Serra Gelada i Litoral de la Marina Baixa	Proposed Site of Community Importance (Habitats Directive)	Proposed Site of Community Importance (Habitats Directive)	Regional	Marine Natura 2000 proposed site	Site of conservation interest	Not reported	Not reported	{ESP}	{MWE}	51.09	50.59	55.53	55.48	92	91	Proposed	1997	Not reported	Conselleria d’Infraestructures,Territori i Medi Ambient. Generalitat Valenciana	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES5213021	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1142		555523722	ES5223036		Serra d'Irta	Serra d'Irta	Proposed Site of Community Importance (Habitats Directive)	Proposed Site of Community Importance (Habitats Directive)	Regional	Marine Natura 2000 proposed site	Site of conservation interest	Not reported	Not reported	{ESP}	{MWE}	20.58	19.99	97.98	97.86	21	20	Proposed	2001	Not reported	Conselleria d’Infraestructures,Territori i Medi Ambient. Generalitat Valenciana	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES5223036	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1605	1098				Serra d'Irta	Serra d'Irta	Marine Reserve (Spain, Valencia)	Reserve Marine de la Comunitat Valenciana	National	MPA with a national statute	Marine Protected Area	Secondary	Not assigned	{ESP}	{MWE}		8.9		9.59		93	Designated	2006	Not reported	Not reported	Not reported		Not listed	http://www.agroambient.gva.es/va/web/pesca/reservas-marinas	Generalitat Valenciana	2020-06-17	GIS layer created by MedPAN according to the information from the creation decree
1143	1098	555538568	ES0000444		Serra d'Irta (ZEPA)	Serra d'Irta (ZEPA)	Special Protection Area (Birds Directive)	Special Protection Area (Birds Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Secondary	Not reported	{ESP}	{MWE}	20.58	19.99	97.98	97.86	21	20	Designated	2009	Not reported	Conselleria d’Infraestructures,Territori i Medi Ambient. Generalitat Valenciana	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES0000444	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1146	1113				Ses Negres	Ses Negres	Closed Zone (Spain, Catalonia)	Zona Vedada	National	MPA with a national statute	Marine Protected Area	Zone	V - Protected landscape/seascape	{ESP}	{MWE}	0.0	0.24	0.8	0.24	0	100	Designated	1993	Sub-national ministry or agency	Generalitat de Catalunya - Department of Agriculture, Livestock, Fisheries and Food	Inexistent		Not listed	http://agricultura.gencat.cat/ca/ambits/pesca/proteccio-recursos-litoral/arees-marines-protegides/zona-vedada-cap-negre/	Generalitat de Catalunya	2016-05-31	GIS layer created by MedPAN according to the information from the creation decree (Orden de 3 de marzo de 1993 - DOGC núm. 1725, de 24 de marzo de 1993).
1148	1148	196166			Ses Salines d'Eivissa I Formentera	Ses Salines d'Eivissa I Formentera	Natural Park (Spain)	Parque Natural	National	MPA with a national statute	Marine Protected Area	Main	Not assigned	{ESP}	{MWE}	140.8	136.46	168.33	167.85	84	81	Designated	2001	Not reported	Balearic Islands Government - Department of Environment, Agriculture and Fisheries	Not reported		Not listed	https://www.protectedplanet.net/196166	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1147			ES0000084		Ses Salines d'Eivissa i Formentera	Ses Salines d'Eivissa i Formentera	SPA (Birds Directive) + SAC (Habitats Directive)	SPA (Birds Directive) + SAC (Habitats Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Not reported	Not reported	{ESP}	{MWE}	136.41	132.34	164.35	164.41	83	80	Designated	2006	Not reported	Not reported	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES0000084	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1606	1148	555546019			Ses Salines d'Eivissa i Formentera	Ses Salines d'Eivissa i Formentera	Nature Reserve (Spain)	Reserva Natural	National	MPA with a national statute	Marine Protected Area	Secondary	Not assigned	{ESP}	{MWE}	4.35	4.13	13.87	13.83	31	30	Designated	2001	Not reported	Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente	Not reported		Not listed	https://www.protectedplanet.net/555546019	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1150	1150	555593031	ESZZ16001		Sistema de cañones submarinos occidentales del Golfo de León	Sistema de cañones submarinos occidentales del Golfo de León	Proposed Site of Community Importance (Habitats Directive)	Proposed Site of Community Importance (Habitats Directive)	Regional	Marine Natura 2000 proposed site	Site of conservation interest	Main	Not reported	{ESP}	{MWE}	937.66	938.41	937.66	938.39	100	100	Proposed	2014	Not reported	Dirección General de Sostenibilidad de la Costa y del Mar- Ministerio de Agricultura, Alimentación y Medio Ambiente	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ESZZ16001	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
