"site","region","longitude","latitude","start_year","initialized"
"Ibiza_(Ses-Bledes)","Balearic","1.165637","38.969560","2011","1"
"Otranto_(Punta Palacia)","S-Adriatic","18.520887","40.107505","2011","1"
"MAGOBS","Gulf_of_Lion","3.873167","43.50022","2011","1"
"Lesvos Island_(Palios Reef)","S-Aegean","26.427867","39.332276","2012","1"
"NP Kornati - Mana","Central Adriatic","15.2623","43.8000","2012","1"
"Ischia_(SanPancrazio)","S-Tyrrhenian","13.9557","40.7017","2012","1"
"Mallorca_S_(Sa_Foradada)","Balearic","2.978533","39.205150","2013","1"
"Zembra","Tunisian","10.80","37.14","2013","1"
"Macinaggio","Corsica","9.4926","42.9864","2013","1"
"Sagro","Corsica","9.4949","42.7950","2013","1"
"Toga","Corsica","9.4585","42.7129","2013","1"
"Arinella","Corsica","9.4582","42.6672","2013","1"
"Favone","Corsica","9.4115","41.7249","2013","1"
"Chiappa","Corsica","9.3732","41.5899","2013","1"
"Cerbicales","Corsica","9.3668","41.5393","2013","1"
"Santamanza","Corsica","9.2475","41.4346","2013","1"
"LavezziRSP","Corsica","9.2665","41.3342","2013","1"
"LavezziGECT","Corsica","9.2522","41.3262","2013","1"
"SpargiettoGECT","Sardinia","9.3212","41.2454","2013","1"
"Bonifacio","Corsica","9.1984","41.3606","2013","1"
"Figari","Corsica","9.0491","41.4517","2013","1"
"Portopolo","Corsica","8.7678","41.7344","2013","1"
"Sagone","Corsica","8.6779","42.0971","2013","1"
"Porto","Corsica","8.6598","42.2627","2013","1"
"Calvi","Corsica","8.7285","42.5805","2013","1"
"Ilerousse","Corsica","8.9425","42.6471","2013","1"
"Canari","Corsica","9.3356","42.7874","2013","1"
"Toulon_(Cap Sicié)","Provence","5.8436","43.043217","2014","1"
"Ceuta_(Ciclón de fuera)","Gibraltar Strait","-5.298333","35.905278","2014","1"
"Menorca_(Illa_de_l'aire)","Balearic","4.288333","39.799722","2014","1"
"Menorca_(Illa_Porros_2)","Balearic","4.0775","40.088611","2014","1"
"SW Turkey_(Gökova Boncuk)","S-Aegean"," 28.197133","36.98360","2014","1"
"S Turkey_(Kas Kovanli island)","N-Levantine","29.62139","36.15194","2014","1"
"Kerkennah-S_2m","Tunisian","11.006150","34.570033","2014","1"
"SW_Turkey_(Gökova Koremen)","S-Aegean","28.124","36.939","2015","1"
"Portofino","Ligurian","9.165838","44.313724","2015","1"
"Brijuni-Kamik","N-Adriatic","13.760091"," 44.893658","2015","1"
"Vis_(Plocica)","Central Adriatic","16.26036111","43.06606667","2015","1"
"Vis_(Volici)","Central Adriatic","16.1934944444444","43.0856888888888","2015","1"
"Tabarca","S-Catalan","-0.431749","38.161318","2017","1"
"Lampedusa","Tunisian","12.62798","35.52058","2017","1"
"Bravone","Corsica","9.5802","42.1325","2017","1"
"Alcyone","Corsica","9.5762","42.3054","2017","1"
"Cap Corse_(Giraglia)","Corsica","9.4065","43.0281","2018","1"
"Pinna nobilis_Sardinaux","Provence","6.6754","43.306","2018","1"
"Portofino_Tonnarella","Ligurian","9.1460","44.3301","2018","1"
"Taverna","Corsica","9.5426","42.3400","2018","1"
"Cap Lardier_(Port-Cros)","Provence","6.6166","43.15","2019","1"
"Villefranche_(Causiniere)","Ligurian","7.3317","43.6746","2019","1"
"Isola del Giglio_(Punta Gabbianara)","N-Tyrrhenian","10.9207","42.3648","2019","1"
"Marseille_Figuier","Provence","5.44617","43.2055","2020","1"
"Mare Caldo - Greenpeace/DISTAV","N-Tyrrhenian","10.1264","42.8064","2020","1"
"Fethiye Bay Balaban Island","N-Levantine","29.0309","36.5569","2020","1"
"Capo Carbonara MPA","Sardinia","9.5248","39.0955","2020","1"
"Plemmirio MPA","Sicilia","15.3359","37.0011","2020","1"
"Cap Corse_(Canelle)","Corsica","9.3086","42.8352","2020","1"
"Ullastres","N-Catalan","3.2003","41.8880","2021","1"
"Sv_Marko_Brijuni National Park","N-Adriatic","13.7218","44.9438","2021","1"
"Grunj_Brijuni National Park","N-Adriatic","13.7179","44.9144","2021","1"
"Banco di Santa Croce","S-Tyrrhenian","14.4197","40.6726","2021","1"
"Formica di Porticello","S-Tyrrhenian","13.5674","38.0917","2021","1"
"Capo Spartivento","S-Tyrrhenian","15.2708","40.0223","2021","1"
"Costacuti (Anzio)","S-Tyrrhenian","12.6131","41.3672","2021","1"
"Santa Teresa di Gallura","Sardinia","9.2031","41.2567","2021","1"
"Genn'Emari (Gulf of Cagliari)","Sardinia","9.4036","39.1385","2021","1"
"Mortoriotto","Sardinia","9.6200","41.0865","2021","1"
"Cap Corse_(Sagro)","Corsica","9.4894","42.7877","2021","1"
"Isola di Bergeggi","Ligurian","8.4444","44.2333","2021","1"
"Elba(Picchi di Pablo)","N-Tyrrhenian","10.4349","42.7268","2021","1"
"Omis_(Mala luka)","Central Adriatic","16.7176","43.4149","2022","1"
"Capo Caccia_(Il Nereo)","Sardinia","8.1612","40.5610","2024","1"
